cycle_counter;cycle_time;umschaltvolumen;maximaler_spritzdruck;umschaltspritzdruck;einspritzzeit;massepolster;dosierzeit;zylinderheizzone_1;zylinderheizzone_2;zylinderheizzone_3;zylinderheizzone_4;zylinderheizzone_5;zylinderheizzone_6;zylinderheizzone_7;zylinderheizzone_8;werkzeugheizkreis_1;weight;mittlere Wandst.
20000;0.0020000000949949;22.99234962463379;809.6917114257812;627.912109375;0.0;1.9041283130645752;0.0;249.1000061035156;260.29998779296875;260.0;270.0;270.1000061035156;275.0;274.79998779296875;280.0;270.79998779296875;0.001;2,218400
20001;36.16600036621094;23.00425148010254;856.8041381835938;685.9161376953125;1.870000004768372;1.5471042394638062;6.443999767303467;250.8999938964844;260.1000061035156;259.8999938964844;269.8999938964844;270.1000061035156;275.0;274.8999938964844;279.8999938964844;273.3999938964844;115.98;2,210200
20002;65.1760025024414;23.00425148010254;887.7902221679688;723.4033813476562;1.870000004768372;1.8446242809295652;6.822000026702881;250.1999969482422;260.70001220703125;260.0;270.0;270.1000061035156;275.1000061035156;274.79998779296875;279.8999938964844;274.20001220703125;115.511;
20003;0.0020000000949949;23.00425148010254;780.5631103515625;727.962646484375;0.0;0.0;0.0;246.6000061035156;257.6000061035156;257.79998779296875;268.1000061035156;269.6000061035156;275.20001220703125;275.0;279.8999938964844;275.29998779296875;112.1;1,951400
20004;64.9520034790039;23.00425148010254;859.9280395507812;752.1943359375;1.8279999494552608;0.0;18.374000549316406;248.6999969482422;258.6000061035156;259.0;269.1000061035156;269.6000061035156;274.79998779296875;275.0;279.8999938964844;273.70001220703125;113.854;1,966800
20005;64.87000274658203;23.00425148010254;910.7554321289062;784.7001953125;1.870000004768372;0.0;6.435999870300293;248.6000061035156;259.20001220703125;260.3999938964844;270.5;270.1000061035156;275.0;275.0;279.79998779296875;273.6000061035156;115.006;1,987200
20006;65.27400207519531;23.00425148010254;943.852294921875;813.0689697265625;1.871999979019165;1.5828067064285278;6.480000019073486;248.8000030517578;258.8999938964844;259.79998779296875;270.0;270.1000061035156;274.8999938964844;275.0;279.8999938964844;273.79998779296875;114.984;1,977400
20007;65.18599700927734;26.99102020263672;1007.7664794921876;798.6312866210938;1.8739999532699585;7.199985504150391;6.458000183105469;249.1999969482422;259.1000061035156;259.70001220703125;270.1000061035156;270.1000061035156;274.8999938964844;275.1000061035156;280.0;273.70001220703125;114.96;1,995200
20008;64.58599853515625;27.00292015075684;1017.3916015625;789.9348754882812;1.7860000133514404;7.533207893371582;6.038000106811523;249.3000030517578;259.79998779296875;260.0;270.1000061035156;270.20001220703125;275.0;274.8999938964844;280.0;273.70001220703125;115.008;
20009;64.73600006103516;26.99102020263672;994.2575073242188;772.5421752929688;1.7860000133514404;4.724618434906006;5.788000106811523;249.3999938964844;259.5;259.70001220703125;270.1000061035156;270.0;274.8999938964844;275.0;280.0;273.3999938964844;115.082;1,996600
20010;72.6760025024414;27.00292015075684;988.5162353515624;765.02783203125;1.7580000162124634;5.010237693786621;5.909999847412109;249.0;259.79998779296875;260.20001220703125;270.20001220703125;270.0;275.0;274.8999938964844;279.8999938964844;273.79998779296875;115.18;1,991200
20011;64.68000030517578;27.00292015075684;989.1072387695312;764.0146484375;1.75600004196167;5.141146659851074;5.860000133514404;249.1000061035156;259.79998779296875;260.1000061035156;270.0;270.1000061035156;274.8999938964844;274.8999938964844;280.0;273.5;115.161;2,001000
20012;64.61199951171875;27.00292015075684;986.9120483398438;762.6637573242188;1.75600004196167;5.36726188659668;5.822000026702881;248.8999938964844;260.0;260.1000061035156;270.0;270.0;274.8999938964844;274.8999938964844;280.0;273.79998779296875;115.191;2,032600
20013;64.72799682617188;27.00292015075684;988.6851196289062;760.1307983398438;1.75600004196167;5.498170375823975;5.794000148773193;248.8999938964844;259.70001220703125;260.0;270.0;270.1000061035156;274.8999938964844;274.8999938964844;279.79998779296875;273.29998779296875;115.226;
20014;64.21199798583984;27.00292015075684;986.236572265625;758.6954956054688;1.75600004196167;5.569575309753418;5.754000186920166;250.0;260.1000061035156;260.20001220703125;270.1000061035156;269.8999938964844;275.0;275.0;279.8999938964844;273.70001220703125;115.266;
20015;88.2979965209961;27.00292015075684;976.5270385742188;749.15478515625;1.75600004196167;5.545773983001709;5.73799991607666;248.6999969482422;259.79998779296875;260.0;269.8999938964844;270.0;275.0;275.0;280.0;273.6000061035156;115.4;1,997400
20016;71.08799743652344;27.00292015075684;976.3582153320312;746.790771484375;1.75600004196167;5.295856952667236;5.745999813079834;249.1000061035156;259.70001220703125;259.8999938964844;270.0;270.0;274.8999938964844;274.8999938964844;280.0;273.5;115.414;2,014000
